id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check
324,TEST,When did Elon Musk officially become Twitter's owner?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Twitter,_Inc.#List_of_CEOs:~:text=On%20October%2027%2C%202022%2C%20Elon%20Musk%20closed%20a%20deal%20to%20purchase%20the%20company",27-Oct-22,27-Oct-22,27-Oct-22,27-Oct-22,10/27/2022,10-27-2022,27/10/2022,27-10-2022,2022/10/27,2022/10/27,,"Elon Musk officially became Twitter's owner on Oct 27, 2022, marking a significant milestone in his career and influence in the tech industry.","Elon Musk officially became Twitter's owner on October 27, 2022, marking a significant milestone in his career and influence in the tech industry.",Elon Musk officially became Twitter's owner on 27 Oct 2022.,Elon Musk officially became Twitter's owner on 27 October 2022.,Elon Musk officially became Twitter's owner on 10/27/2022.,Elon Musk officially became Twitter's owner on 10-27-2022.,Elon Musk officially became Twitter's owner on 27/10/2022.,Elon Musk officially became Twitter's owner on 27-10-2022.,"Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became the owner of Twitter on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became the owner of Twitter on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.;Elon Musk officially became Twitter's owner on October 27, 2022.","1. On October 27, 2022, Elon Musk officially took ownership of Twitter.;2. Elon Musk's official acquisition of Twitter occurred on October 27, 2022.;3. The date Elon Musk officially became the owner of Twitter was October 27, 2022.;4. October 27, 2022, marks the day Elon Musk officially became the owner of Twitter.;5. Elon Musk officially assumed ownership of Twitter on October 27, 2022.",YES;YES;YES;YES;YES,"1. Elon Musk did not officially become Twitter's owner on October 27, 2022.;2. Elon Musk officially became Twitter's owner on a date other than October 27, 2022.;3. Elon Musk was not officially Twitter's owner on October 27, 2022.;4. On October 27, 2022, Elon Musk did not officially become the owner of Twitter.;5. October 27, 2022, is not the date when Elon Musk officially became Twitter's owner.",NO;NO;NO;NO;YES,0,no
325,TEST,Who killed the former Japanese Prime Minister Shinzo Abe?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Shinzo_Abe#:~:text=A%2041%2Dyear%2Dold%20man%20named%20Tetsuya%20Yamagami%2C%20a%20former%20JMSDF%20member%2C%20was%20immediately%20arrested%20and%20later%20confessed%20to%20local%20police.,Tetsuya Yamagami,,,,,,,,,,,Tetsuya Yamagami is the person who killed the former Japanese Prime Minister Shinzo Abe.,,,,,,,,,,The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.,"The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.;Former Japanese Prime Minister Shinzo Abe was assassinated by Tetsuya Yamagami.;The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.;The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami on July 8, 2022.;Former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami on July 8, 2022.;The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.;Former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami on July 8, 2022.;The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.;Former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami on July 8, 2022.;The former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.","1. Tetsuya Yamagami was responsible for the death of the former Japanese Prime Minister Shinzo Abe.;2. The individual who killed the former Japanese Prime Minister Shinzo Abe was Tetsuya Yamagami.;3. Shinzo Abe, the former Japanese Prime Minister, was assassinated by Tetsuya Yamagami.;4. The assassination of the former Japanese Prime Minister Shinzo Abe was carried out by Tetsuya Yamagami.;5. Tetsuya Yamagami is the person who killed the former Japanese Prime Minister Shinzo Abe.",YES;YES;YES;YES;NOT SURE,"1. The former Japanese Prime Minister Shinzo Abe was not killed by Tetsuya Yamagami.;2. Tetsuya Yamagami did not kill the former Japanese Prime Minister Shinzo Abe.;3. Shinzo Abe, the former Japanese Prime Minister, was not killed by Tetsuya Yamagami.;4. Tetsuya Yamagami was not responsible for the death of the former Japanese Prime Minister Shinzo Abe.;5. The person who killed the former Japanese Prime Minister Shinzo Abe was not Tetsuya Yamagami.",NO;NO;NO;NO;NO,0,no
326,TEST,What was the first operational image taken by the James Webb Space Telescope?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=Webb%27s%20First%20Deep%20Field%20is%20the%20first%20operational%20image%20taken%20by%20the%20James%20Webb%20Space%20Telescope%20(JWST).,Webb's First Deep Field,,,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, which captured a stunning view of distant galaxies.",,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was of the star HD 84406, located in the constellation Ursa Major.","The first operational image taken by the James Webb Space Telescope was of the star HD 84406, located in the constellation Ursa Major.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406 in the constellation Ursa Major.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406 in the constellation Ursa Major.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406 in the constellation Ursa Major.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406 in the constellation Ursa Major, which was used to help align the telescope's mirrors.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406 in the constellation Ursa Major, used to align the telescope's mirrors.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406, used for alignment purposes.;The first operational image taken by the James Webb Space Telescope was of the star 2MASS J17554042+6551277, used to align the telescope's mirrors.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406, released on February 11, 2022.;The first operational image taken by the James Webb Space Telescope was of the star HD 84406, located in the constellation Ursa Major.","1. The initial operational image captured by the James Webb Space Telescope featured the star HD 84406 in the constellation Ursa Major.;2. The James Webb Space Telescope's first operational photograph was of HD 84406, a star in Ursa Major.;3. HD 84406, a star in the constellation Ursa Major, was the subject of the first operational image taken by the James Webb Space Telescope.;4. The star HD 84406 in Ursa Major was the focus of the James Webb Space Telescope's first operational image.;5. The first operational image from the James Webb Space Telescope depicted the star HD 84406, situated in the constellation Ursa Major.",YES;YES;YES;YES;YES,1. The first operational image taken by the James Webb Space Telescope was not of the star HD 84406.;2. The first operational image taken by the James Webb Space Telescope was not located in the constellation Ursa Major.;3. The first operational image taken by the James Webb Space Telescope was of a different star than HD 84406.;4. The first operational image taken by the James Webb Space Telescope was not of any star in the constellation Ursa Major.;5. The James Webb Space Telescope did not take its first operational image of the star HD 84406.,NO;YES;YES;YES;YES,0.1,no
327,TEST,Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=It%20was%20first%20revealed%20to%20the%20public%20during%20an%20event%20on%2011%20July%202022%20by%20U.S.%20President%20Joe%20Biden.,Joe Biden,Joseph Robinette Biden Jr,President Joe Biden,President Biden,U.S. President Joe Biden,,,,,,,"Joe Biden, the President of the United States at the time, revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.",Joseph Robinette Biden Jr revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,U.S. President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,,,,,,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,"1. The first operational image taken by NASA's James Webb Space Telescope was revealed to the public by President Joe Biden at the White House.;2. At the White House, President Joe Biden unveiled to the public the first operational image captured by NASA's James Webb Space Telescope.;3. President Joe Biden made public the first operational image from NASA's James Webb Space Telescope at the White House.;4. The initial operational image from NASA's James Webb Space Telescope was disclosed to the public by President Joe Biden at the White House.;5. At the White House, the first operational image taken by NASA's James Webb Space Telescope was presented to the public by President Joe Biden.",YES;YES;YES;YES;YES,1. President Joe Biden did not reveal to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;2. The first operational image taken by NASA's James Webb Space Telescope at the White House was not revealed to the public by President Joe Biden.;3. It was not President Joe Biden who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.;4. The first operational image taken by NASA's James Webb Space Telescope at the White House was revealed to the public by someone other than President Joe Biden.;5. President Joe Biden was not the one who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,NO;NO;NO;NO;NO,0,no
328,TEST,Who was the first elected female Governor of Massachusetts?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Maura_Healey#:~:text=the%20first%20woman%20elected%20governor%20of%20Massachusetts,Maura Healey,Maura Tracy Healey,,,,,,,,,,Maura Healey was the first elected female Governor of Massachusetts.,Maura Tracy Healey was the first elected female Governor of Massachusetts.,,,,,,,,,"The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003, although she was never elected to the position; the first elected female governor was Maura Healey, elected in 2022.","The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003, but the first woman elected to the position was Maura Healey, who took office in January 2023.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003, but the first elected female governor was not until Maura Healey in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor but was never elected; the first elected female governor was Maura Healey, elected in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as Acting Governor from 2001 to 2003, but the first elected female Governor was Maura Healey, elected in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as Acting Governor from 2001 to 2003 but was never elected to the position; the first elected female governor was Maura Healey, who won the election in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003, although she was not elected to the position but succeeded after Governor Paul Cellucci resigned.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor but was not elected to the position; the first elected female governor was Maura Healey in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor before being elected.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003 but was not elected; the first elected female governor was Maura Healey, elected in 2022.;The first elected female Governor of Massachusetts was Jane Swift, who served as acting governor from 2001 to 2003, although she was never elected to the position; the first elected female governor was Maura Healey, elected in 2022.","1. Jane Swift served as acting governor of Massachusetts from 2001 to 2003, but the first elected female governor was Maura Healey, elected in 2022.;2. Although Jane Swift was the acting governor of Massachusetts from 2001 to 2003, Maura Healey became the first elected female governor in 2022.;3. Maura Healey, elected in 2022, holds the distinction of being the first elected female governor of Massachusetts, while Jane Swift served as acting governor from 2001 to 2003.;4. The first elected female governor of Massachusetts was Maura Healey in 2022, whereas Jane Swift, who served from 2001 to 2003, was never elected to the position.;5. While Jane Swift acted as governor of Massachusetts from 2001 to 2003, Maura Healey was the first woman to be elected to the governorship in 2022.",YES;YES;YES;YES;YES,1. The first elected female Governor of Massachusetts was not Jane Swift.;2. Jane Swift was not the first elected female Governor of Massachusetts.;3. Maura Healey was not elected as the first female Governor of Massachusetts in 2022.;4. The first elected female Governor of Massachusetts was not Maura Healey.;5. Jane Swift served as acting governor from 2001 to 2003 and was elected to the position.,YES;YES;NO;YES;NO,1,yes
329,TEST,On what date did Queen Elizabeth II of England die?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Elizabeth_II#:~:text=8%C2%A0September%C2%A02022%2C%20at%2015%3A10%20(BST)%20(death),8-Sep-22,8-Sep-22,8-Sep-22,8-Sep-22,09/8/2022,09-8-2022,8/09/2022,8-09-2022,2022/9/8,2022/9/8,,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 Sep 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 September 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.",Queen Elizabeth II of England died on 8/09/2022.,Queen Elizabeth II of England died on 8-09-2022.,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.;Queen Elizabeth II of England died on September 8, 2022.","1. Queen Elizabeth II of England passed away on September 8, 2022.;2. The date of Queen Elizabeth II of England's death was September 8, 2022.;3. September 8, 2022, marks the death of Queen Elizabeth II of England.;4. On September 8, 2022, Queen Elizabeth II of England died.;5. Queen Elizabeth II of England's death occurred on September 8, 2022.",YES;YES;YES;NO;YES,"1. Queen Elizabeth II of England did not die on September 8, 2022.;2. September 8, 2022, is not the date Queen Elizabeth II of England died.;3. Queen Elizabeth II of England did not pass away on September 8, 2022.;4. The date of Queen Elizabeth II of England's death is not September 8, 2022.;5. Queen Elizabeth II of England's death did not occur on September 8, 2022.",NO;NO;NO;NO;NO,0,no
330,TEST,"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",before 2022,,FALSE,one-hop,never-changing,https://www.nobelprize.org/prizes/chemistry/2022/press-release/#:~:text=Morten%20Meldal%0AUniversity%20of%20Copenhagen%2C%20Denmark,Morten Meldal,Morten Peter Meldal,Morten Peter Meldal,,,,,,,,,"Morten Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.",,,,,,,,"The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark.","Morten Meldal from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.;The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark, along with Carolyn R. Bertozzi and K. Barry Sharpless.;Professor Morten Meldal from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.;Morten Meldal from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.;Morten Meldal from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.;The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark, along with Carolyn Bertozzi and K. Barry Sharpless.;The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark.;Morten Meldal from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.;The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark.;The 2022 Nobel Prize in Chemistry was awarded to Morten Meldal from the University of Copenhagen, Denmark.","1. Morten Meldal from the University of Copenhagen, Denmark, received the 2022 Nobel Prize in Chemistry.;2. The recipient of the 2022 Nobel Prize in Chemistry from the University of Copenhagen, Denmark, was Morten Meldal.;3. In 2022, Morten Meldal from the University of Copenhagen, Denmark, was honored with the Nobel Prize in Chemistry.;4. The University of Copenhagen's Morten Meldal was awarded the Nobel Prize in Chemistry in 2022.;5. The 2022 Nobel Prize in Chemistry went to Morten Meldal of the University of Copenhagen, Denmark.",YES;YES;YES;YES;YES,"1. The 2022 Nobel Prize in Chemistry was not awarded to Morten Meldal from the University of Copenhagen, Denmark.;2. Morten Meldal from the University of Copenhagen, Denmark did not win the 2022 Nobel Prize in Chemistry.;3. The University of Copenhagen, Denmark did not have a winner for the 2022 Nobel Prize in Chemistry.;4. Morten Meldal did not receive the 2022 Nobel Prize in Chemistry.;5. The 2022 Nobel Prize in Chemistry was not given to anyone from the University of Copenhagen, Denmark.",NO;NO;YES;NO;NOT SURE,0,no
331,TEST,Who wrote the best novelette of the 2022 Hugo Awards?,before 2022,,FALSE,one-hop,never-changing,https://lithub.com/here-are-the-winners-of-the-2022-hugo-awards/#:~:text=Best%20Novelette%3A%C2%A0%E2%80%9CBots%20of%20the%20Lost%20Ark%E2%80%9D%20by%20Suzanne%20Palmer,Suzanne Palmer,,,,,,,,,,,Suzanne Palmer wrote the best novelette of the 2022 Hugo Awards.,,,,,,,,,,"The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark.""","The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard, titled ""Bots of the Lost Ark."";The best novelette of the 2022 Hugo Awards was written by Aliette de Bodard for ""Bots of the Lost Ark.""","1. Aliette de Bodard authored the best novelette of the 2022 Hugo Awards with ""Bots of the Lost Ark."";2. ""Bots of the Lost Ark,"" the best novelette of the 2022 Hugo Awards, was penned by Aliette de Bodard.;3. The 2022 Hugo Awards' best novelette, ""Bots of the Lost Ark,"" was written by Aliette de Bodard.;4. Aliette de Bodard is the writer of ""Bots of the Lost Ark,"" which won the best novelette at the 2022 Hugo Awards.;5. The best novelette at the 2022 Hugo Awards, ""Bots of the Lost Ark,"" was authored by Aliette de Bodard.",NO;YES;YES;NO;YES,"1. The best novelette of the 2022 Hugo Awards was not written by Aliette de Bodard for ""Bots of the Lost Ark."";2. Aliette de Bodard did not write the best novelette of the 2022 Hugo Awards.;3. ""Bots of the Lost Ark"" was not the best novelette of the 2022 Hugo Awards.;4. The best novelette of the 2022 Hugo Awards was written by someone other than Aliette de Bodard.;5. Aliette de Bodard did not win the best novelette of the 2022 Hugo Awards for ""Bots of the Lost Ark.""",YES;YES;YES;YES;YES,0.2,yes
332,TEST,Who was the first player to win more than one FIFA World Cup Golden Ball?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_World_Cup_awards#:~:text=At%20the%202022%20FIFA%20World%20Cup%2C%20Lionel%20Messi%20became%20the%20first%20player%20to%20win%20a%20second%20Golden%20Ball.,Lionel Messi,,,,,,,,,,,"Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, which is awarded to the tournament's best player.",,,,,,,,,,"The first player to win more than one FIFA World Cup Golden Ball is Lionel Messi, who won it in 2014 and 2022.","Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, achieving this distinction in 2014 and 2022.;Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, achieving this in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who achieved this in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who received the award in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who won the award in both 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who received the award in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who achieved this in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball is Lionel Messi, who won the award in 2014 and 2022.;Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, achieving this distinction in 2014 and 2022.;The first player to win more than one FIFA World Cup Golden Ball is Lionel Messi, who won it in 2014 and 2022.","1. Lionel Messi is the first player to secure more than one FIFA World Cup Golden Ball, achieving this in 2014 and 2022.;2. The distinction of being the first player to win multiple FIFA World Cup Golden Balls belongs to Lionel Messi, with victories in 2014 and 2022.;3. Lionel Messi holds the record as the first player to earn more than one FIFA World Cup Golden Ball, having won in 2014 and 2022.;4. The first player to claim more than one FIFA World Cup Golden Ball is Lionel Messi, who did so in 2014 and 2022.;5. Lionel Messi became the first player to win the FIFA World Cup Golden Ball more than once, with his wins in 2014 and 2022.",YES;YES;YES;YES;YES,1. The first player to win more than one FIFA World Cup Golden Ball is not Lionel Messi.;2. Lionel Messi did not win the FIFA World Cup Golden Ball in 2014 and 2022.;3. Lionel Messi is not the first player to win more than one FIFA World Cup Golden Ball.;4. The FIFA World Cup Golden Ball was not won by Lionel Messi in 2014 and 2022.;5. Lionel Messi did not achieve the distinction of winning more than one FIFA World Cup Golden Ball.,YES;NO;YES;NO;YES,0,no
333,TEST,Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Cristiano_Ronaldo#International_career:~:text=On%2024%20November%2C%20in%20Portugal%27s%20opening%20match%20against%20Ghana%2C%20Ronaldo%20scored%20a%20penalty%20kick%20and%20became%20the%20first%20male%20player%20to%20score%20in%20five%20different%20World%20Cups.,Cristiano Ronaldo,,,,,,,,,,,"Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments, showcasing his exceptional talent and longevity in the sport.",,,,,,,,,,Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.;The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.;The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;The first player to score a goal at five FIFA Men's World Cup tournaments was Cristiano Ronaldo.;Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.;Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,1. Cristiano Ronaldo made history as the first player to score a goal at five FIFA Men's World Cup tournaments.;2. The record for scoring a goal at five FIFA Men's World Cup tournaments was first set by Cristiano Ronaldo.;3. Cristiano Ronaldo became the inaugural player to net a goal in five different FIFA Men's World Cup tournaments.;4. The distinction of being the first to score in five FIFA Men's World Cup tournaments belongs to Cristiano Ronaldo.;5. Cristiano Ronaldo achieved the milestone of being the first to score a goal in five FIFA Men's World Cup tournaments.,YES;YES;YES;YES;YES,1. Cristiano Ronaldo was not the first player to score a goal at five FIFA Men's World Cup tournaments.;2. The first player to score a goal at five FIFA Men's World Cup tournaments was not Cristiano Ronaldo.;3. Cristiano Ronaldo did not score a goal at five FIFA Men's World Cup tournaments first.;4. No player named Cristiano Ronaldo was the first to score a goal at five FIFA Men's World Cup tournaments.;5. The record for scoring a goal at five FIFA Men's World Cup tournaments does not belong to Cristiano Ronaldo.,NO;YES;NO;YES;NO,0,no
